accident_id,accident_date,accident_time,hour_of_day,month,location_id,location_name,zone,road_type,severity,weather_condition,lighting_condition,vehicle_type,reported_cause,casualties,latitude,longitude
ACC-1044,2026-01-03,19:30,19,2026-01,L007,Lakeview Avenue,west,junction,minor,rain,daylight,car,low_visibility,0,28.585922439249348,77.17734393003789
ACC-0837,2026-04-12,12:50,12,2026-04,L011,Depot Crossing,south,signalized_crossing,moderate,wind,dusk,two_wheeler,overspeeding,1,28.563799810776253,77.21535639592773
ACC-0923,2026-06-05,18:30,18,2026-06,L007,Lakeview Avenue,west,collector_road,moderate,wind,daylight,two_wheeler,signal_violation,1,28.593511057816514,77.17049187378709
ACC-1501,2026-02-02,08:25,8,2026-02,L001,Maple Junction,central,local_road,minor,cloudy,daylight,car,low_visibility,0,28.607368673865004,77.21149489216413
ACC-0707,2026-01-08,19:10,19,2026-01,L011,Depot Crossing,south,junction,moderate,clear,daylight,truck,tailgating,1,28.5633976113104,77.22206516591683
ACC-0591,2026-02-15,08:20,8,2026-02,L004,School Gate Road,north,arterial,critical,clear,night_lit,cycle,signal_violation,3,28.636837294864215,77.20589703696803
ACC-0312,2026-03-19,07:40,7,2026-03,L012,Green Park Turn,west,local_road,major,wind,dusk,truck,tailgating,1,28.57097784643959,77.1857650585794
ACC-0547,2026-05-16,08:00,8,2026-05,L009,Hospital Service Road,central,junction,minor,fog,daylight,car,sudden_lane_change,0,28.614244598853105,77.21551747310784
ACC-1675,2026-02-02,12:55,12,2026-02,L008,Old Bridge Approach,north,bridge_approach,moderate,fog,night_poor_light,bus,sudden_lane_change,0,28.649526374973615,77.21814429822811
ACC-1040,2026-05-03,15:15,15,2026-05,L004,School Gate Road,north,local_road,moderate,clear,daylight,auto_rickshaw,signal_violation,1,28.633555084512512,77.20663484752247
ACC-1452,2026-03-02,21:20,21,2026-03,L010,Airport Link Signal,east,junction,minor,rain,night_lit,truck,tailgating,0,28.633024024473496,77.2545011056654
ACC-0288,2026-01-04,19:40,19,2026-01,L010,Airport Link Signal,east,local_road,moderate,clear,night_poor_light,car,tailgating,0,28.631954746276303,77.25734871406756
ACC-1963,2026-06-16,03:45,3,2026-06,L006,Industrial Belt Exit,south,arterial,major,cloudy,night_lit,bus,wet_surface,2,28.563365612296433,77.2425559736401
ACC-1532,2026-02-22,07:05,7,2026-02,L002,Riverside Flyover,east,flyover,minor,clear,daylight,auto_rickshaw,tailgating,0,28.626225694387458,77.23361953267164
ACC-1667,2026-01-31,10:00,10,2026-01,L001,Maple Junction,central,arterial,minor,clear,daylight,two_wheeler,sudden_lane_change,0,28.619260149240095,77.21815053087735
ACC-0385,2026-01-03,10:30,10,2026-01,L003,Market Ring Road,central,arterial,moderate,clear,night_lit,auto_rickshaw,sudden_lane_change,0,28.60929028220225,77.23296793128704
ACC-1731,2026-05-16,07:25,7,2026-05,L012,Green Park Turn,west,arterial,moderate,wind,daylight,bus,wrong_side_entry,1,28.57903225422095,77.18661454519032
ACC-1413,2026-06-06,06:10,6,2026-06,L003,Market Ring Road,central,local_road,moderate,fog,daylight,cycle,overspeeding,0,28.604921967349146,77.22897333336715
ACC-1560,2026-01-02,17:45,17,2026-01,L006,Industrial Belt Exit,south,local_road,minor,clear,daylight,truck,signal_violation,0,28.564762800178777,77.24998163874106
ACC-1915,2026-06-26,08:20,8,2026-06,L012,green park turn,west,arterial,moderate,clear,daylight,car,wrong_side_entry,1,28.575729853103244,77.19072839036758
ACC-0458,2026-01-09,04:35,4,2026-01,L006,Industrial Belt Exit,south,highway_ramp,minor,clear,night_poor_light,car,tailgating,0,28.57833982436635,77.24400345733105
ACC-1426,2026-03-22,23:50,23,2026-03,L002,Riverside Flyover,east,flyover,major,rain,daylight,bus,signal_violation,2,28.61910596184427,77.24518236092771
ACC-0552,2026-06-28,20:55,20,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,wind,dusk,auto_rickshaw,low_visibility,0,28.64408703897298,77.22318068915624
ACC-0525,2026-03-19,17:35,17,2026-03,L003,Market Ring Road,central,junction,minor,clear,,truck,signal_violation,0,28.608122076258834,77.22936231961228
ACC-1293,2026-03-14,17:55,17,2026-04,L012,Green Park Turn,west,arterial,major,clear,dusk,cycle,tailgating,1,28.583160785308777,77.18620883331815
ACC-0274,2026-04-05,17:20,17,2026-04,L010,Airport Link Signal,east,local_road,major,clear,daylight,truck,signal_violation,1,28.640477530139098,77.26152870546984
ACC-1200,2026-03-25,11:45,11,2026-03,L005,Metro Link Turn,west,junction,minor,rain,night_lit,truck,overspeeding,0,28.60246365896058,77.17625724435061
ACC-0148,2026-02-26,18:00,18,2026-02,L010,Airport Link Signal,east,local_road,moderate,fog,night_poor_light,cycle,signal_violation,1,28.628858444722475,77.26053903303341
ACC-1789,2026-01-05,14:25,14,2026-01,L004,School Gate Road,north,junction,minor,clear,night_lit,cycle,overspeeding,0,28.633347427179533,77.19320735316015
ACC-0122,2026-03-06,08:40,8,2026-03,L005,Metro Link Turn,west,arterial,moderate,cloudy,dusk,truck,signal_violation,0,28.593292551669876,77.18803720792576
ACC-1890,2026-03-22,19:05,19,2026-03,L004,school gate road,north,junction,moderate,wind,daylight,bus,signal_violation,0,28.637047210295627,77.20347047714665
ACC-1739,2026-01-27,16:55,16,2026-01,L003,Market Ring Road,central,junction,minor,clear,night_lit,two_wheeler,wrong_side_entry,0,28.610944041593662,77.22651892705281
ACC-1591,2026-04-21,08:10,8,2026-04,L012,Green Park Turn,west,local_road,moderate,rain,night_poor_light,cycle,tailgating,0,28.571978668433932,77.19183949609656
ACC-0815,2026-02-11,16:00,16,2026-02,L009,Hospital Service Road,central,local_road,minor,rain,night_lit,car,overspeeding,0,28.624984362680326,77.2042031070692
ACC-0844,2026-04-14,23:30,23,2026-04,L006,Industrial Belt Exit,south,junction,major,fog,night_lit,two_wheeler,pedestrian_conflict,2,28.57226040276326,77.23812551842182
ACC-0902,2026-02-22,03:50,3,2026-02,L003,Market Ring Road,central,junction,minor,cloudy,dusk,two_wheeler,signal_violation,0,28.610652066525954,77.21772052685755
ACC-1685,2026-05-14,12:50,12,2026-05,L005,Metro Link Turn,west,junction,major,rain,daylight,cycle,low_visibility,2,28.59624940443123,77.18074721423574
ACC-1180,2026-06-19,18:35,18,2026-06,L011,Depot Crossing,south,junction,major,rain,daylight,car,wet_surface,2,28.56753928942995,77.22103527758735
ACC-1494,2026-01-23,00:00,0,2026-01,L003,Market Ring Road,central,local_road,moderate,cloudy,night_lit,auto_rickshaw,signal_violation,0,28.610971881776567,77.22479869050028
ACC-1002,2026-04-19,19:30,19,2026-04,L001,Maple Junction,central,arterial,moderate,cloudy,daylight,auto_rickshaw,sudden_lane_change,0,28.606907917391194,77.20957596585932
ACC-1829,2026-06-06,23:00,23,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,clear,night_poor_light,two_wheeler,sudden_lane_change,0,28.641525032241717,77.22401026060399
ACC-1836,2026-02-25,12:45,12,2026-02,L008,Old Bridge Approach,north,bridge_approach,critical,clear,daylight,bus,overspeeding,3,28.642156827403955,77.21993392068568
ACC-0177,2026-01-30,16:50,16,2026-01,L006,Industrial Belt Exit,south,highway_ramp,minor,clear,dusk,car,low_visibility,0,28.57072927450185,77.24380996443188
ACC-1869,2026-06-14,08:50,8,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,cloudy,daylight,cycle,sudden_lane_change,0,28.656208389060943,77.21969068561242
ACC-0607,2026-06-01,04:45,4,2026-06,L006,Industrial Belt Exit,south,arterial,minor,fog,night_lit,car,wrong_side_entry,0,28.565300665078276,77.24915906002047
ACC-1313,2026-01-12,18:35,18,2026-01,L004,School Gate Road,north,local_road,moderate,clear,,two_wheeler,wrong_side_entry,0,28.63196257930535,77.19340637256991
ACC-1391,2026-05-02,04:20,4,2026-05,L005,Metro Link Turn,west,junction,minor,rain,,two_wheeler,overspeeding,1,28.60002879101208,77.1773104107546
ACC-1308,2026-06-14,14:40,14,2026-06,L006,Industrial Belt Exit,south,arterial,major,fog,daylight,car,signal_violation,2,28.567250103803598,77.2457998645137
ACC-1824,2026-01-28,10:50,10,2026-01,L011,Depot Crossing,south,arterial,moderate,fog,dusk,auto_rickshaw,tailgating,0,28.56412568709049,77.22803437630728
ACC-0174,2026-02-07,18:50,18,2026-02,L006,Industrial Belt Exit,south,junction,minor,clear,daylight,truck,pedestrian_conflict,0,28.56828965785915,77.23604380798491
ACC-0333,2026-01-09,08:25,8,2026-01,L011,Depot Crossing,south,signalized_crossing,moderate,rain,daylight,truck,sudden_lane_change,1,28.563360875449998,77.21639548262517
ACC-1058,2026-01-21,09:25,9,2026-01,L011,Depot Crossing,south,junction,minor,rain,daylight,bus,sudden_lane_change,0,28.564268185515324,77.21943377866153
ACC-0465,2026-06-26,12:30,12,2026-06,L003,Market Ring Road,central,arterial,major,wind,night_lit,two_wheeler,low_visibility,1,28.60026780629984,77.22138248508037
ACC-0230,2026-02-12,12:45,12,2026-02,L007,Lakeview Avenue,west,collector_road,moderate,cloudy,night_lit,two_wheeler,low_visibility,0,28.592536057002942,77.17553263067808
ACC-1057,2026-05-11,20:30,20,2026-05,L006,Industrial Belt Exit,south,local_road,minor,,daylight,auto_rickshaw,pedestrian_conflict,0,28.577420040112727,77.24646478313339
ACC-0136,2026-03-23,11:40,11,2026-03,L006,Industrial Belt Exit,south,junction,minor,clear,dusk,car,sudden_lane_change,0,28.568228004740565,77.24538299460819
ACC-0126,2026-04-09,18:50,18,2026-04,L012,Green Park Turn,west,arterial,major,clear,night_lit,truck,pedestrian_conflict,1,28.58077581916214,77.19445874723807
ACC-1253,2026-04-24,10:35,10,2026-04,L001,Maple Junction,central,arterial,moderate,clear,night_poor_light,truck,wet_surface,1,28.60844104169782,77.21867007661248
ACC-1088,2026-03-05,09:25,9,2026-03,L001,Maple Junction,central,junction,minor,cloudy,daylight,truck,pedestrian_conflict,0,28.606097309255208,77.21265311143397
ACC-0043,2026-01-31,01:30,1,2026-01,L012,Green Park Turn,west,junction,major,cloudy,dusk,truck,wet_surface,2,28.571306486655473,77.19793492754158
ACC-0780,2026-04-26,18:00,18,2026-04,L008,Old Bridge Approach,north,bridge_approach,minor,,daylight,truck,wet_surface,0,28.644135819976245,77.22330571686888
ACC-0053,2026-06-18,08:10,8,2026-06,L010,Airport Link Signal,east,arterial,minor,clear,night_poor_light,car,sudden_lane_change,0,28.640800436869856,77.26064344730982
ACC-1217,2026-06-01,18:30,18,2026-06,L007,Lakeview Avenue,west,junction,critical,fog,night_lit,cycle,low_visibility,3,28.583222285182423,77.17622798428594
ACC-0344,2026-01-13,06:10,6,2026-01,L008,Old Bridge Approach,north,bridge_approach,moderate,cloudy,night_poor_light,bus,wet_surface,1,28.654010119673483,77.22086791722306
ACC-1641,2026-01-11,10:45,10,2026-01,L005,Metro Link Turn,west,junction,minor,fog,night_lit,cycle,low_visibility,0,28.60086424413109,77.18554873620988
ACC-0196,2026-05-04,09:00,9,2026-05,L011,Depot Crossing,south,signalized_crossing,moderate,,night_lit,bus,overspeeding,1,28.56283189497086,77.21806133055195
ACC-0257,2026-04-11,18:05,18,2026-04,L008,Old Bridge Approach,north,bridge_approach,minor,rain,night_poor_light,auto_rickshaw,overspeeding,0,28.65575647624403,77.21866573237372
ACC-1042,2026-06-22,05:55,5,2026-06,L011,Depot Crossing,south,arterial,minor,rain,night_lit,two_wheeler,wrong_side_entry,0,28.561794724480777,77.22801905980111
ACC-1408,2026-05-23,07:40,7,2026-05,L010,Airport Link Signal,east,junction,critical,clear,night_poor_light,car,wet_surface,3,28.635175376332302,77.2557601863563
ACC-1664,2026-01-07,16:10,16,2026-01,L004,School Gate Road,north,arterial,major,clear,daylight,two_wheeler,sudden_lane_change,2,28.630486387821016,77.20366102710685
ACC-0194,2026-01-22,20:50,20,2026-01,L011,Depot Crossing,south,signalized_crossing,critical,clear,night_poor_light,car,signal_violation,3,28.566546478199253,77.22159443277687
ACC-1759,2026-06-12,22:20,22,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,clear,night_lit,truck,tailgating,1,28.64729733975611,77.22699636891998
ACC-1964,2026-02-06,17:45,17,2026-02,L006,Industrial Belt Exit,south,arterial,minor,clear,daylight,truck,sudden_lane_change,0,28.569917633337365,77.23958294683435
ACC-0979,2026-04-01,10:30,10,2026-04,L006,Industrial Belt Exit,south,local_road,minor,clear,daylight,cycle,low_visibility,0,28.563415949797456,77.24338231792643
ACC-1670,2026-01-20,03:05,3,2026-01,L002,Riverside Flyover,east,flyover,minor,clear,night_lit,truck,sudden_lane_change,0,28.617554713509083,77.23392497296288
ACC-0401,2026-02-21,00:55,0,2026-02,L006,Industrial Belt Exit,south,junction,minor,wind,night_poor_light,car,overspeeding,0,28.576299534058005,77.2509090030437
ACC-0472,2026-05-27,19:50,19,2026-05,L009,Hospital Service Road,central,arterial,minor,wind,night_poor_light,two_wheeler,pedestrian_conflict,0,28.62286028667026,77.20629308388574
