accident_id,accident_date,accident_time,hour_of_day,month,location_id,location_name,zone,road_type,severity,weather_condition,lighting_condition,vehicle_type,reported_cause,casualties,latitude,longitude,is_severe
ACC-0864,2026-01-08,05:05,5,2026-01,L012,Green Park Turn,west,junction,major,wind,daylight,cycle,signal_violation,1,28.58188706091582,77.1952665536335,True
ACC-0191,2026-03-03,22:10,22,2026-03,L012,Green Park Turn,west,arterial,moderate,rain,daylight,bus,overspeeding,1,28.57578735123106,77.18566282894677,False
ACC-1319,2026-01-21,17:20,17,2026-01,L011,Depot Crossing,south,arterial,minor,clear,dusk,bus,low_visibility,0,28.570486430088657,77.22596019156202,False
ACC-1071,2026-05-08,16:00,16,2026-05,L005,Metro Link Turn,west,junction,moderate,wind,dusk,two_wheeler,Unknown,1,28.60223170049806,77.1906456308046,False
ACC-1901,2026-03-30,06:40,6,2026-03,L004,School Gate Road,north,local_road,major,clear,dusk,cycle,wet_surface,1,28.63816885911283,77.19738192613687,True
ACC-1697,2026-04-28,15:55,15,2026-04,L006,Industrial Belt Exit,south,highway_ramp,minor,clear,daylight,cycle,overspeeding,0,28.57751677913901,77.23619239419318,False
ACC-1842,2026-04-12,19:15,19,2026-04,L003,Market Ring Road,central,local_road,moderate,fog,daylight,car,tailgating,0,28.60645381121464,77.21930668769784,False
ACC-1622,2026-04-22,10:30,10,2026-04,L006,Industrial Belt Exit,south,local_road,moderate,clear,night_poor_light,truck,overspeeding,1,28.57235834131989,77.23785829158344,False
ACC-0772,2026-06-07,10:25,10,2026-06,L001,Maple Junction,central,junction,moderate,clear,night_poor_light,cycle,low_visibility,0,28.613646834750572,77.20700743107555,False
ACC-0750,2026-04-10,18:30,18,2026-04,L006,Industrial Belt Exit,south,arterial,moderate,clear,daylight,two_wheeler,wrong_side_entry,0,28.574555991616872,77.24952063364128,False
ACC-0884,2026-01-10,22:15,22,2026-01,L003,Market Ring Road,central,junction,moderate,wind,night_lit,cycle,low_visibility,0,28.60226488085669,77.21942088927047,False
ACC-0653,2026-06-05,11:00,11,2026-06,L005,Metro-Link Turn,west,local_road,major,clear,night_poor_light,car,signal_violation,2,28.592398397239556,77.18139704349014,True
ACC-1725,2026-03-09,17:50,17,2026-03,L001,Maple Junction,central,local_road,minor,rain,daylight,truck,overspeeding,0,28.61127299876705,77.2165190877893,False
ACC-1969,2026-04-07,18:20,18,2026-04,L011,Depot Crossing,south,signalized_crossing,major,rain,daylight,two_wheeler,wrong_side_entry,1,28.56190385802124,77.22179828675151,True
ACC-0501,2026-01-04,09:30,9,2026-01,L012,green park turn,west,local_road,major,rain,night_poor_light,bus,sudden_lane_change,2,28.57097114448933,77.18633994193507,True
ACC-1195,2026-06-19,17:45,17,2026-06,L009,Hospital Service Road,central,junction,minor,clear,night_lit,car,pedestrian_conflict,0,28.61836241740698,77.20069302965004,False
ACC-1603,2026-03-23,18:40,18,2026-03,L003,Market Ring Road,central,junction,major,wind,dusk,car,sudden_lane_change,2,28.598343268115997,77.2249594076696,True
ACC-1553,2026-05-28,11:50,11,2026-05,L012,Green Park Turn,west,junction,moderate,clear,night_lit,truck,low_visibility,1,28.57572161588125,77.18500538433014,False
ACC-0145,2026-03-26,19:05,19,2026-03,L001,Maple Junction,central,local_road,minor,cloudy,dusk,bus,low_visibility,1,28.61337790003524,77.22167885730418,False
ACC-1899,2026-01-20,08:35,8,2026-01,L010,Airport Link Signal,east,local_road,minor,clear,dusk,car,sudden_lane_change,0,28.635721878101453,77.25203889068426,False
ACC-0055,2026-06-14,17:30,17,2026-06,L008,Old Bridge Approach,north,bridge_approach,minor,clear,night_lit,car,tailgating,1,28.64977370294477,77.2162029670931,False
ACC-0075,2026-02-05,03:45,3,2026-02,L012,Green Park Turn,west,local_road,minor,clear,daylight,car,pedestrian_conflict,0,28.575371584890977,77.19704649729049,False
ACC-1169,2026-03-03,21:25,21,2026-03,L008,Old Bridge Approach,north,bridge_approach,minor,cloudy,daylight,two_wheeler,low_visibility,0,28.64548564615184,77.21866257008587,False
ACC-1554,2026-03-27,19:50,19,2026-03,L006,Industrial Belt Exit,south,junction,critical,wind,night_poor_light,two_wheeler,tailgating,3,28.56381696560004,77.24212286105166,True
ACC-1150,2026-02-28,17:40,17,2026-02,L002,Riverside Flyover,east,flyover,moderate,clear,daylight,truck,low_visibility,0,28.62783319171336,77.23040919702193,False
ACC-0689,2026-04-09,14:25,14,2026-04,L003,Market Ring Road,central,arterial,critical,rain,dusk,car,wet_surface,3,28.59991111637828,77.21989767564808,True
ACC-1801,2026-05-13,09:00,9,2026-05,L006,Industrial Belt Exit,south,arterial,major,rain,daylight,car,signal_violation,1,28.56706603310743,77.2464319662699,True
ACC-1720,2026-06-28,08:00,8,2026-06,L007,Lakeview Avenue,west,junction,major,rain,night_lit,two_wheeler,wrong_side_entry,2,28.582824513456668,77.1783980086094,True
ACC-1799,2026-05-26,10:30,10,2026-05,L005,Metro Link Turn,west,local_road,moderate,rain,dusk,cycle,overspeeding,0,28.59618562198288,77.18696356030465,False
ACC-1153,2026-05-02,19:40,19,2026-05,L011,Depot Crossing,south,junction,major,clear,dusk,auto_rickshaw,tailgating,2,28.57181327380169,77.21946717344713,True
ACC-0248,2026-04-23,09:25,9,2026-04,L011,Depot Crossing,south,arterial,moderate,clear,night_lit,two_wheeler,tailgating,1,28.572026226132213,77.22215095121787,False
ACC-1335,2026-03-14,00:25,0,2026-03,L004,School Gate Road,north,arterial,moderate,clear,night_poor_light,bus,sudden_lane_change,0,28.633495741906096,77.19511546849387,False
ACC-1737,2026-04-16,10:40,10,2026-04,L006,Industrial Belt Exit,south,local_road,minor,cloudy,daylight,two_wheeler,signal_violation,0,28.57870515548514,77.24641462827627,False
ACC-1028,2026-02-06,00:10,0,2026-02,L003,Market Ring Road,central,arterial,minor,fog,night_poor_light,auto_rickshaw,tailgating,0,28.59981635363319,77.2311557798063,False
ACC-0376,2026-04-04,05:35,5,2026-04,L008,Old Bridge Approach,north,bridge_approach,major,clear,dusk,two_wheeler,wet_surface,2,28.64811398901772,77.21489043964596,True
ACC-1723,2026-02-15,08:00,8,2026-02,L002,Riverside Flyover,east,flyover,moderate,Unknown,dusk,auto_rickshaw,pedestrian_conflict,0,28.622251463634623,77.23037049523388,False
ACC-1678,2026-01-02,19:45,19,2026-01,L009,Hospital Service Road,central,junction,moderate,wind,daylight,cycle,pedestrian_conflict,1,,,False
ACC-0690,2026-05-30,18:25,18,2026-05,L003,Market Ring Road,central,local_road,moderate,clear,dusk,bus,tailgating,0,28.60185088434583,77.22052700169304,False
ACC-0378,2026-05-23,17:25,17,2026-05,L006,industrial belt exit,south,arterial,major,rain,dusk,two_wheeler,tailgating,1,28.57026883350326,77.24862706219083,True
ACC-0650,2026-06-10,16:30,16,2026-06,L007,Lakeview Avenue,west,junction,moderate,cloudy,night_lit,truck,low_visibility,1,28.58502669075506,77.17706875350014,False
ACC-0796,2026-05-13,02:55,2,2026-05,L002,Riverside Flyover,east,flyover,critical,rain,daylight,truck,overspeeding,3,28.624595386471416,77.24165285530296,True
ACC-1511,2026-05-18,05:15,5,2026-05,L004,School Gate Road,north,junction,major,rain,dusk,cycle,sudden_lane_change,1,28.644626665293423,77.20568440117995,True
ACC-0113,2026-03-27,04:35,4,2026-03,L009,Hospital Service Road,central,service_road,critical,clear,night_lit,auto_rickshaw,wet_surface,2,28.61869297916329,77.21505828551953,True
ACC-1157,2026-06-02,21:30,21,2026-06,L003,Market Ring Road,central,arterial,moderate,clear,night_lit,cycle,overspeeding,1,28.600428028120877,77.22257361749219,False
ACC-0467,2026-04-05,09:50,9,2026-04,L012,Green Park Turn,west,arterial,major,fog,daylight,cycle,Unknown,2,28.5828288215776,77.1858177100172,True
ACC-1274,2026-01-23,02:50,2,2026-01,L003,Market Ring Road,central,arterial,major,clear,dusk,truck,overspeeding,1,28.60955762377541,77.22249448433449,True
ACC-0262,2026-04-17,05:30,5,2026-04,L004,School Gate Road,north,junction,minor,wind,night_poor_light,truck,overspeeding,0,28.639812206136256,77.19841982228047,False
ACC-0777,2026-01-27,07:10,7,2026-01,L007,Lakeview Avenue,west,collector_road,moderate,clear,dusk,auto_rickshaw,tailgating,1,28.586360816304573,77.1808219739732,False
ACC-0480,2026-03-03,08:20,8,2026-03,L004,School Gate Road,north,junction,minor,clear,daylight,two_wheeler,wet_surface,0,28.644379903582653,77.20198624933555,False
ACC-1753,2026-06-10,09:30,9,2026-06,L007,Lakeview Avenue,west,junction,moderate,fog,dusk,bus,low_visibility,1,28.59067826556182,77.16818746448602,False
ACC-0066,2026-04-20,07:20,7,2026-04,L012,Green Park Turn,west,junction,moderate,clear,night_lit,auto_rickshaw,low_visibility,0,28.574275052081884,77.19292741139868,False
ACC-0487,2026-06-17,08:25,8,2026-06,L003,Market Ring Road,central,junction,moderate,rain,night_poor_light,truck,signal_violation,0,28.61201913977947,77.22892041589142,False
ACC-1810,2026-05-01,08:00,8,2026-05,L006,industrial belt exit,south,arterial,major,clear,dusk,two_wheeler,signal_violation,2,28.563748925628108,77.24110917387154,True
ACC-0637,2026-03-29,10:05,10,2026-03,L003,market ring road,central,local_road,minor,wind,night_poor_light,cycle,tailgating,0,28.60490778539246,77.22179772259521,False
ACC-1472,2026-02-12,12:30,12,2026-02,L001,Maple Junction,central,arterial,major,clear,night_poor_light,truck,tailgating,2,28.60645593754745,77.21831977973696,True
ACC-0504,2026-05-10,21:00,21,2026-05,L012,Green Park Turn,west,arterial,moderate,wind,night_lit,car,wrong_side_entry,1,28.581406367976538,77.19240694251766,False
ACC-0404,2026-03-24,10:30,10,2026-03,L003,Market Ring Road,central,local_road,minor,cloudy,night_poor_light,car,pedestrian_conflict,0,28.601107651205417,77.22398076712574,False
ACC-0719,2026-01-21,08:30,8,2026-01,L001,Maple Junction,central,local_road,critical,fog,daylight,two_wheeler,overspeeding,2,28.618495272687248,77.21026549324145,True
ACC-1683,2026-04-10,18:45,18,2026-04,L006,Industrial Belt Exit,south,local_road,minor,clear,dusk,two_wheeler,signal_violation,0,28.57461268791366,77.2456697927121,False
ACC-1044,2026-01-03,19:30,19,2026-01,L007,Lakeview Avenue,west,junction,minor,rain,daylight,car,low_visibility,0,28.585922439249348,77.17734393003789,False
ACC-0837,2026-04-12,12:50,12,2026-04,L011,Depot Crossing,south,signalized_crossing,moderate,wind,dusk,two_wheeler,overspeeding,1,28.563799810776253,77.21535639592773,False
ACC-0923,2026-06-05,18:30,18,2026-06,L007,Lakeview Avenue,west,collector_road,moderate,wind,daylight,two_wheeler,signal_violation,1,28.593511057816517,77.17049187378709,False
ACC-1501,2026-02-02,08:25,8,2026-02,L001,Maple Junction,central,local_road,minor,cloudy,daylight,car,low_visibility,0,28.607368673865004,77.21149489216413,False
ACC-0707,2026-01-08,19:10,19,2026-01,L011,Depot Crossing,south,junction,moderate,clear,daylight,truck,tailgating,1,28.5633976113104,77.22206516591683,False
ACC-0591,2026-02-15,08:20,8,2026-02,L004,School Gate Road,north,arterial,critical,clear,night_lit,cycle,signal_violation,3,28.63683729486421,77.20589703696803,True
ACC-0312,2026-03-19,07:40,7,2026-03,L012,Green Park Turn,west,local_road,major,wind,dusk,truck,tailgating,1,28.57097784643959,77.1857650585794,True
ACC-0547,2026-05-16,08:00,8,2026-05,L009,Hospital Service Road,central,junction,minor,fog,daylight,car,sudden_lane_change,0,28.614244598853105,77.21551747310784,False
ACC-1675,2026-02-02,12:55,12,2026-02,L008,Old Bridge Approach,north,bridge_approach,moderate,fog,night_poor_light,bus,sudden_lane_change,0,28.64952637497361,77.21814429822811,False
ACC-1040,2026-05-03,15:15,15,2026-05,L004,School Gate Road,north,local_road,moderate,clear,daylight,auto_rickshaw,signal_violation,1,28.633555084512512,77.20663484752247,False
ACC-1452,2026-03-02,21:20,21,2026-03,L010,Airport Link Signal,east,junction,minor,rain,night_lit,truck,tailgating,0,28.633024024473496,77.2545011056654,False
ACC-0288,2026-01-04,19:40,19,2026-01,L010,Airport Link Signal,east,local_road,moderate,clear,night_poor_light,car,tailgating,0,28.631954746276303,77.25734871406756,False
ACC-1963,2026-06-16,03:45,3,2026-06,L006,Industrial Belt Exit,south,arterial,major,cloudy,night_lit,bus,wet_surface,2,28.563365612296437,77.2425559736401,True
ACC-1532,2026-02-22,07:05,7,2026-02,L002,Riverside Flyover,east,flyover,minor,clear,daylight,auto_rickshaw,tailgating,0,28.626225694387458,77.23361953267164,False
ACC-1667,2026-01-31,10:00,10,2026-01,L001,Maple Junction,central,arterial,minor,clear,daylight,two_wheeler,sudden_lane_change,0,28.61926014924009,77.21815053087735,False
ACC-0385,2026-01-03,10:30,10,2026-01,L003,Market Ring Road,central,arterial,moderate,clear,night_lit,auto_rickshaw,sudden_lane_change,0,28.60929028220225,77.23296793128704,False
ACC-1731,2026-05-16,07:25,7,2026-05,L012,Green Park Turn,west,arterial,moderate,wind,daylight,bus,wrong_side_entry,1,28.57903225422095,77.18661454519032,False
ACC-1413,2026-06-06,06:10,6,2026-06,L003,Market Ring Road,central,local_road,moderate,fog,daylight,cycle,overspeeding,0,28.604921967349146,77.22897333336715,False
ACC-1560,2026-01-02,17:45,17,2026-01,L006,Industrial Belt Exit,south,local_road,minor,clear,daylight,truck,signal_violation,0,28.564762800178777,77.24998163874106,False
ACC-1915,2026-06-26,08:20,8,2026-06,L012,green park turn,west,arterial,moderate,clear,daylight,car,wrong_side_entry,1,28.575729853103244,77.19072839036758,False
ACC-0458,2026-01-09,04:35,4,2026-01,L006,Industrial Belt Exit,south,highway_ramp,minor,clear,night_poor_light,car,tailgating,0,28.57833982436635,77.24400345733105,False
ACC-1426,2026-03-22,23:50,23,2026-03,L002,Riverside Flyover,east,flyover,major,rain,daylight,bus,signal_violation,2,28.61910596184427,77.24518236092771,True
ACC-0552,2026-06-28,20:55,20,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,wind,dusk,auto_rickshaw,low_visibility,0,28.64408703897298,77.22318068915624,False
ACC-0525,2026-03-19,17:35,17,2026-03,L003,Market Ring Road,central,junction,minor,clear,Unknown,truck,signal_violation,0,28.608122076258837,77.22936231961228,False
ACC-1293,2026-03-14,17:55,17,2026-04,L012,Green Park Turn,west,arterial,major,clear,dusk,cycle,tailgating,1,28.583160785308777,77.18620883331815,True
ACC-0274,2026-04-05,17:20,17,2026-04,L010,Airport Link Signal,east,local_road,major,clear,daylight,truck,signal_violation,1,28.640477530139098,77.26152870546984,True
ACC-1200,2026-03-25,11:45,11,2026-03,L005,Metro Link Turn,west,junction,minor,rain,night_lit,truck,overspeeding,0,28.60246365896058,77.17625724435061,False
ACC-0148,2026-02-26,18:00,18,2026-02,L010,Airport Link Signal,east,local_road,moderate,fog,night_poor_light,cycle,signal_violation,1,28.628858444722475,77.26053903303341,False
ACC-1789,2026-01-05,14:25,14,2026-01,L004,School Gate Road,north,junction,minor,clear,night_lit,cycle,overspeeding,0,28.633347427179533,77.19320735316015,False
ACC-0122,2026-03-06,08:40,8,2026-03,L005,Metro Link Turn,west,arterial,moderate,cloudy,dusk,truck,signal_violation,0,28.59329255166988,77.18803720792576,False
ACC-1890,2026-03-22,19:05,19,2026-03,L004,school gate road,north,junction,moderate,wind,daylight,bus,signal_violation,0,28.637047210295627,77.20347047714665,False
ACC-1739,2026-01-27,16:55,16,2026-01,L003,Market Ring Road,central,junction,minor,clear,night_lit,two_wheeler,wrong_side_entry,0,28.610944041593665,77.22651892705281,False
ACC-1591,2026-04-21,08:10,8,2026-04,L012,Green Park Turn,west,local_road,moderate,rain,night_poor_light,cycle,tailgating,0,28.57197866843393,77.19183949609656,False
ACC-0815,2026-02-11,16:00,16,2026-02,L009,Hospital Service Road,central,local_road,minor,rain,night_lit,car,overspeeding,0,28.62498436268033,77.2042031070692,False
ACC-0844,2026-04-14,23:30,23,2026-04,L006,Industrial Belt Exit,south,junction,major,fog,night_lit,two_wheeler,pedestrian_conflict,2,28.57226040276326,77.23812551842182,True
ACC-0902,2026-02-22,03:50,3,2026-02,L003,Market Ring Road,central,junction,minor,cloudy,dusk,two_wheeler,signal_violation,0,28.610652066525954,77.21772052685755,False
ACC-1685,2026-05-14,12:50,12,2026-05,L005,Metro Link Turn,west,junction,major,rain,daylight,cycle,low_visibility,2,28.59624940443123,77.18074721423574,True
ACC-1180,2026-06-19,18:35,18,2026-06,L011,Depot Crossing,south,junction,major,rain,daylight,car,wet_surface,2,28.56753928942995,77.22103527758735,True
ACC-1494,2026-01-23,00:00,0,2026-01,L003,Market Ring Road,central,local_road,moderate,cloudy,night_lit,auto_rickshaw,signal_violation,0,28.610971881776567,77.22479869050028,False
ACC-1002,2026-04-19,19:30,19,2026-04,L001,Maple Junction,central,arterial,moderate,cloudy,daylight,auto_rickshaw,sudden_lane_change,0,28.606907917391197,77.20957596585932,False
ACC-1829,2026-06-06,23:00,23,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,clear,night_poor_light,two_wheeler,sudden_lane_change,0,28.64152503224172,77.22401026060399,False
ACC-1836,2026-02-25,12:45,12,2026-02,L008,Old Bridge Approach,north,bridge_approach,critical,clear,daylight,bus,overspeeding,3,28.642156827403955,77.21993392068568,True
ACC-0177,2026-01-30,16:50,16,2026-01,L006,Industrial Belt Exit,south,highway_ramp,minor,clear,dusk,car,low_visibility,0,28.57072927450185,77.24380996443188,False
ACC-1869,2026-06-14,08:50,8,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,cloudy,daylight,cycle,sudden_lane_change,0,28.656208389060943,77.21969068561242,False
ACC-0607,2026-06-01,04:45,4,2026-06,L006,Industrial Belt Exit,south,arterial,minor,fog,night_lit,car,wrong_side_entry,0,28.56530066507828,77.24915906002047,False
ACC-1313,2026-01-12,18:35,18,2026-01,L004,School Gate Road,north,local_road,moderate,clear,Unknown,two_wheeler,wrong_side_entry,0,28.63196257930535,77.19340637256991,False
ACC-1391,2026-05-02,04:20,4,2026-05,L005,Metro Link Turn,west,junction,minor,rain,Unknown,two_wheeler,overspeeding,1,28.60002879101208,77.1773104107546,False
ACC-1308,2026-06-14,14:40,14,2026-06,L006,Industrial Belt Exit,south,arterial,major,fog,daylight,car,signal_violation,2,28.5672501038036,77.2457998645137,True
ACC-1824,2026-01-28,10:50,10,2026-01,L011,Depot Crossing,south,arterial,moderate,fog,dusk,auto_rickshaw,tailgating,0,28.56412568709049,77.22803437630728,False
ACC-0174,2026-02-07,18:50,18,2026-02,L006,Industrial Belt Exit,south,junction,minor,clear,daylight,truck,pedestrian_conflict,0,28.56828965785915,77.23604380798491,False
ACC-0333,2026-01-09,08:25,8,2026-01,L011,Depot Crossing,south,signalized_crossing,moderate,rain,daylight,truck,sudden_lane_change,1,28.56336087545,77.21639548262517,False
ACC-1058,2026-01-21,09:25,9,2026-01,L011,Depot Crossing,south,junction,minor,rain,daylight,bus,sudden_lane_change,0,28.564268185515324,77.21943377866153,False
ACC-0465,2026-06-26,12:30,12,2026-06,L003,Market Ring Road,central,arterial,major,wind,night_lit,two_wheeler,low_visibility,1,28.60026780629984,77.22138248508037,True
ACC-0230,2026-02-12,12:45,12,2026-02,L007,Lakeview Avenue,west,collector_road,moderate,cloudy,night_lit,two_wheeler,low_visibility,0,28.592536057002945,77.17553263067808,False
ACC-1057,2026-05-11,20:30,20,2026-05,L006,Industrial Belt Exit,south,local_road,minor,Unknown,daylight,auto_rickshaw,pedestrian_conflict,0,28.577420040112727,77.24646478313339,False
ACC-0136,2026-03-23,11:40,11,2026-03,L006,Industrial Belt Exit,south,junction,minor,clear,dusk,car,sudden_lane_change,0,28.568228004740565,77.24538299460819,False
ACC-0126,2026-04-09,18:50,18,2026-04,L012,Green Park Turn,west,arterial,major,clear,night_lit,truck,pedestrian_conflict,1,28.58077581916214,77.19445874723807,True
ACC-1253,2026-04-24,10:35,10,2026-04,L001,Maple Junction,central,arterial,moderate,clear,night_poor_light,truck,wet_surface,1,28.60844104169782,77.21867007661248,False
ACC-1088,2026-03-05,09:25,9,2026-03,L001,Maple Junction,central,junction,minor,cloudy,daylight,truck,pedestrian_conflict,0,28.606097309255208,77.21265311143397,False
ACC-0043,2026-01-31,01:30,1,2026-01,L012,Green Park Turn,west,junction,major,cloudy,dusk,truck,wet_surface,2,28.571306486655477,77.19793492754158,True
ACC-0780,2026-04-26,18:00,18,2026-04,L008,Old Bridge Approach,north,bridge_approach,minor,Unknown,daylight,truck,wet_surface,0,28.644135819976245,77.22330571686888,False
ACC-0053,2026-06-18,08:10,8,2026-06,L010,Airport Link Signal,east,arterial,minor,clear,night_poor_light,car,sudden_lane_change,0,28.640800436869856,77.26064344730982,False
ACC-1217,2026-06-01,18:30,18,2026-06,L007,Lakeview Avenue,west,junction,critical,fog,night_lit,cycle,low_visibility,3,28.583222285182423,77.17622798428594,True
ACC-0344,2026-01-13,06:10,6,2026-01,L008,Old Bridge Approach,north,bridge_approach,moderate,cloudy,night_poor_light,bus,wet_surface,1,28.654010119673483,77.22086791722306,False
ACC-1641,2026-01-11,10:45,10,2026-01,L005,Metro Link Turn,west,junction,minor,fog,night_lit,cycle,low_visibility,0,28.60086424413109,77.18554873620988,False
ACC-0196,2026-05-04,09:00,9,2026-05,L011,Depot Crossing,south,signalized_crossing,moderate,Unknown,night_lit,bus,overspeeding,1,28.56283189497086,77.21806133055195,False
ACC-0257,2026-04-11,18:05,18,2026-04,L008,Old Bridge Approach,north,bridge_approach,minor,rain,night_poor_light,auto_rickshaw,overspeeding,0,28.65575647624403,77.21866573237372,False
ACC-1042,2026-06-22,05:55,5,2026-06,L011,Depot Crossing,south,arterial,minor,rain,night_lit,two_wheeler,wrong_side_entry,0,28.561794724480777,77.22801905980111,False
ACC-1408,2026-05-23,07:40,7,2026-05,L010,Airport Link Signal,east,junction,critical,clear,night_poor_light,car,wet_surface,3,28.635175376332302,77.2557601863563,True
ACC-1664,2026-01-07,16:10,16,2026-01,L004,School Gate Road,north,arterial,major,clear,daylight,two_wheeler,sudden_lane_change,2,28.630486387821016,77.20366102710685,True
ACC-0194,2026-01-22,20:50,20,2026-01,L011,Depot Crossing,south,signalized_crossing,critical,clear,night_poor_light,car,signal_violation,3,28.566546478199253,77.22159443277687,True
ACC-1759,2026-06-12,22:20,22,2026-06,L008,Old Bridge Approach,north,bridge_approach,moderate,clear,night_lit,truck,tailgating,1,28.64729733975611,77.22699636891998,False
ACC-1964,2026-02-06,17:45,17,2026-02,L006,Industrial Belt Exit,south,arterial,minor,clear,daylight,truck,sudden_lane_change,0,28.569917633337365,77.23958294683435,False
